"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1266527341.446,95.999,8.329,7.21e-23,142.526,0.020,210.691849,0.000,0.000,1.000,"likcjpArAG","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/Tcj2Hft58o/likcjpArAG.png",5.657
1260214432.387,223.076,23.342,2.32e-22,383.912,0.156,654.472229,0.000,0.000,1.000,"yIdT7to9b7","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/jcnwSkVPh8/yIdT7to9b7.png",5.657
1258108863.593,95.999,12.932,1.26e-22,207.515,0.063,340.670868,0.000,0.000,1.000,"HmrXAzvBsf","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/UCnIZ9LPim/HmrXAzvBsf.png",5.657
1265092802.554,217.741,32.317,1.08e-22,841.516,0.250,1594.534790,0.000,0.000,1.000,"RRpVjKByZ8","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/pa6fetbTEM/RRpVjKByZ8.png",5.657
1263711472.654,217.741,22.309,7.84e-23,680.441,0.156,1289.324585,0.000,0.000,1.000,"Vt13955i2s","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/bxdEeVWhGC/Vt13955i2s.png",5.657
1260562379.360,176.063,17.319,6.41e-23,305.350,0.156,522.202942,0.000,0.000,1.000,"KaEoAbqde2","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/IBEBUkbfJ7/KaEoAbqde2.png",5.657
1262928872.505,217.741,15.572,5.30e-23,460.550,0.125,811.652527,0.000,0.000,1.000,"O4VKjByPVe","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/eI6qbVZ8Wx/O4VKjByPVe.png",5.657
1267959498.616,217.741,14.328,4.87e-23,377.633,0.078,645.819336,0.000,0.000,1.000,"upDaY6sl5W","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/z23i3LUNw8/upDaY6sl5W.png",5.657
1267959498.616,217.741,14.328,4.87e-23,377.633,0.078,645.819336,0.000,0.000,1.000,"f29b96YTs1","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/JOa22pDCMY/f29b96YTs1.png",5.657
1262148048.798,95.999,13.232,1.19e-22,3211.661,0.162,6350.104004,0.000,0.000,1.000,"q6SHayMRZb","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/35HCfa41kW/q6SHayMRZb.png",5.657
1265026947.384,176.063,13.195,4.44e-23,384.110,0.039,632.865112,0.000,0.000,1.000,"1KeVCs0W9Z","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/wJY88wUNEl/1KeVCs0W9Z.png",5.657
1263378574.878,95.999,11.159,9.61e-23,3714.569,0.313,7354.778809,0.000,0.000,1.000,"ySsvKiFmYz","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/Lu8XL1Z2fl/ySsvKiFmYz.png",5.657
1267728716.185,95.999,10.440,8.57e-23,146.888,0.047,201.967316,0.000,0.000,1.000,"NckfxHj8OP","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/zsuky7pS7Z/NckfxHj8OP.png",5.657
1259234595.521,62.976,8.708,1.08e-22,84.440,0.063,94.520531,0.000,0.000,1.000,"TkwcCLHasV","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/0Rv5tVf2qT/TkwcCLHasV.png",5.657
1259340823.033,77.754,7.711,7.83e-23,2779.963,0.170,5485.567383,0.000,0.000,1.000,"UlZ975Xh8a","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/tkhJKYzNVh/UlZ975Xh8a.png",5.657
1263969411.518,411.865,34.644,1.43e-22,2648.697,0.188,5208.896484,0.000,0.000,1.000,"2WjIcEWRzC","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/DsF1mQrMTP/2WjIcEWRzC.png",5.657
1257970066.350,269.285,23.871,8.75e-23,466.319,0.188,800.114929,0.000,0.000,1.000,"d2OUyi9Uie","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/4cW5SCbjX4/d2OUyi9Uie.png",5.657
1265700245.308,333.030,21.114,7.60e-23,1577.273,0.250,3045.099121,0.000,0.000,1.000,"9VRYC0u10t","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/vqchYcDbBR/9VRYC0u10t.png",5.657
1265700245.308,333.030,21.114,7.60e-23,1577.273,0.250,3045.099121,0.000,0.000,1.000,"XLEQBIws2P","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/iuxwYBptII/XLEQBIws2P.png",5.657
1258535328.972,95.999,18.749,1.78e-22,306.584,0.313,538.808350,0.000,0.000,1.000,"zyqoaSZAQN","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/UXVm6QWrT2/zyqoaSZAQN.png",5.657
1263037302.960,142.363,17.848,6.28e-23,256.375,0.125,403.303650,0.000,0.000,1.000,"amKKPcphsz","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/lPooidXfki/amKKPcphsz.png",5.657
1267923757.640,118.526,16.838,1.44e-22,310.946,0.125,530.083801,0.000,0.000,1.000,"3n5nit5Q1P","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/8GEETMzdvq/3n5nit5Q1P.png",5.657
1257678797.229,176.063,13.998,5.45e-23,392.121,0.125,616.844421,0.000,0.000,1.000,"wt4Is8gH0U","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/h0Ea9aRYF0/wt4Is8gH0U.png",5.657
1259075053.589,95.999,11.946,1.08e-22,175.970,0.094,260.132385,0.000,0.000,1.000,"wItglGwebz","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/ogf04lhReQ/wItglGwebz.png",5.657
1268337602.271,118.526,10.185,8.76e-23,146.888,0.039,201.967316,0.000,0.000,1.000,"DPPPj6VGn8","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/pu7erFQDgg/DPPPj6VGn8.png",5.657
